areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCase,newCasesBySpecimenDate
E92000001,England,nation,2021-10-20,142367,6299,43111
E92000001,England,nation,2021-10-19,142257,6099,43693
E92000001,England,nation,2021-10-18,142152,5938,48246
E92000001,England,nation,2021-10-17,142058,5623,36771
E92000001,England,nation,2021-10-16,141956,5385,31035
E92000001,England,nation,2021-10-15,141853,5363,35919
E92000001,England,nation,2021-10-14,141749,5289,38466
E92000001,England,nation,2021-10-13,141638,5246,39759
E92000001,England,nation,2021-10-12,141543,5213,40064
E92000001,England,nation,2021-10-11,141450,5206,42281
E92000001,England,nation,2021-10-10,141355,5077,30923
E92000001,England,nation,2021-10-09,141275,4921,26602
E92000001,England,nation,2021-10-08,141183,4975,29265
E92000001,England,nation,2021-10-07,141091,4962,31564
E92000001,England,nation,2021-10-06,140996,5009,31916
E92000001,England,nation,2021-10-05,140921,5006,31593
E92000001,England,nation,2021-10-04,140831,4909,35789
E92000001,England,nation,2021-10-03,140751,4778,26627
E92000001,England,nation,2021-10-02,140675,4652,21442
E92000001,England,nation,2021-10-01,140605,4799,23671
E92000001,England,nation,2021-09-30,140505,4916,26247
E92000001,England,nation,2021-09-29,140413,5017,28141
E92000001,England,nation,2021-09-28,140324,5126,29022
E92000001,England,nation,2021-09-27,140242,5121,33901
E92000001,England,nation,2021-09-26,140162,4949,26268
E92000001,England,nation,2021-09-25,140088,5100,22658
E92000001,England,nation,2021-09-24,140000,5036,25220
E92000001,England,nation,2021-09-23,139904,5214,27714
E92000001,England,nation,2021-09-22,139798,5406,28188
E92000001,England,nation,2021-09-21,139687,5543,29952
E92000001,England,nation,2021-09-20,139592,5727,31457
E92000001,England,nation,2021-09-19,139479,5695,24263
E92000001,England,nation,2021-09-18,139382,5688,20521
E92000001,England,nation,2021-09-17,139281,5910,21914
E92000001,England,nation,2021-09-16,139154,6081,21732
E92000001,England,nation,2021-09-15,139040,6306,21955
E92000001,England,nation,2021-09-14,138922,6344,22143
E92000001,England,nation,2021-09-13,138802,6424,24638
E92000001,England,nation,2021-09-12,138728,6253,17510
E92000001,England,nation,2021-09-11,138626,6206,16605
E92000001,England,nation,2021-09-10,138519,6400,20531
E92000001,England,nation,2021-09-09,138410,6254,23905
E92000001,England,nation,2021-09-08,138275,6302,25062
E92000001,England,nation,2021-09-07,138162,6244,27347
E92000001,England,nation,2021-09-06,138037,6375,32373
E92000001,England,nation,2021-09-05,137912,6167,22974
E92000001,England,nation,2021-09-04,137795,6043,22965
E92000001,England,nation,2021-09-03,137681,6195,28112
E92000001,England,nation,2021-09-02,137559,6186,29979
E92000001,England,nation,2021-09-01,137456,6236,30937
E92000001,England,nation,2021-08-31,137357,6293,32854
E92000001,England,nation,2021-08-30,137261,6002,24398
E92000001,England,nation,2021-08-29,137169,5855,18738
E92000001,England,nation,2021-08-28,137057,5756,19693
E92000001,England,nation,2021-08-27,136954,5889,23713
E92000001,England,nation,2021-08-26,136842,5893,25897
E92000001,England,nation,2021-08-25,136737,5922,27247
E92000001,England,nation,2021-08-24,136653,5911,27552
E92000001,England,nation,2021-08-23,136550,6000,29666
E92000001,England,nation,2021-08-22,136454,5749,21957
E92000001,England,nation,2021-08-21,136347,5575,22145
E92000001,England,nation,2021-08-20,136255,5576,25008
E92000001,England,nation,2021-08-19,136149,5554,28391
E92000001,England,nation,2021-08-18,136052,5514,30694
E92000001,England,nation,2021-08-17,135965,5437,30334
E92000001,England,nation,2021-08-16,135880,5429,30153
E92000001,England,nation,2021-08-15,135805,5115,20838
E92000001,England,nation,2021-08-14,135730,4973,20920
E92000001,England,nation,2021-08-13,135646,5076,24463
E92000001,England,nation,2021-08-12,135567,5029,27071
E92000001,England,nation,2021-08-11,135479,5073,28492
E92000001,England,nation,2021-08-10,135404,5096,26983
E92000001,England,nation,2021-08-09,135333,5098,27629
E92000001,England,nation,2021-08-08,135259,4939,19707
E92000001,England,nation,2021-08-07,135194,4817,19506
E92000001,England,nation,2021-08-06,135104,4879,24298
E92000001,England,nation,2021-08-05,135021,4894,27512
E92000001,England,nation,2021-08-04,134934,4944,28243
E92000001,England,nation,2021-08-03,134856,5116,26411
E92000001,England,nation,2021-08-02,134786,5309,25977
E92000001,England,nation,2021-08-01,134711,5090,18218
E92000001,England,nation,2021-07-31,134638,5057,18005
E92000001,England,nation,2021-07-30,134566,5111,21586
E92000001,England,nation,2021-07-29,134479,5056,24792
E92000001,England,nation,2021-07-28,134407,5182,26345
E92000001,England,nation,2021-07-27,134337,5163,25436
E92000001,England,nation,2021-07-26,134278,5055,25927
E92000001,England,nation,2021-07-25,134210,4725,19232
E92000001,England,nation,2021-07-24,134150,4476,19845
E92000001,England,nation,2021-07-23,134092,4401,24011
E92000001,England,nation,2021-07-22,134025,4230,27169
E92000001,England,nation,2021-07-21,133952,4063,31046
E92000001,England,nation,2021-07-20,133904,3894,35119
E92000001,England,nation,2021-07-19,133852,3813,42439
E92000001,England,nation,2021-07-18,133778,3546,32495
E92000001,England,nation,2021-07-17,133720,3442,34638
E92000001,England,nation,2021-07-16,133671,3367,50133
E92000001,England,nation,2021-07-15,133628,3241,56370
E92000001,England,nation,2021-07-14,133585,3110,49282
E92000001,England,nation,2021-07-13,133549,2970,42309
E92000001,England,nation,2021-07-12,133510,2798,39639
E92000001,England,nation,2021-07-11,133478,2564,26939
E92000001,England,nation,2021-07-10,133451,2429,24925
E92000001,England,nation,2021-07-09,133417,2352,28459
E92000001,England,nation,2021-07-08,133378,2209,29278
E92000001,England,nation,2021-07-07,133349,2144,33513
E92000001,England,nation,2021-07-06,133321,1998,30963
E92000001,England,nation,2021-07-05,133299,1888,29528
E92000001,England,nation,2021-07-04,133278,1744,21321
E92000001,England,nation,2021-07-03,133255,1636,20205
E92000001,England,nation,2021-07-02,133228,1611,21742
E92000001,England,nation,2021-07-01,133202,1560,23614
E92000001,England,nation,2021-06-30,133177,1500,23402
E92000001,England,nation,2021-06-29,133154,1445,22676
E92000001,England,nation,2021-06-28,133133,1465,22880
E92000001,England,nation,2021-06-27,133120,1331,15043
E92000001,England,nation,2021-06-26,133100,1276,13181
E92000001,England,nation,2021-06-25,133090,1284,14518
E92000001,England,nation,2021-06-24,133070,1274,14709
E92000001,England,nation,2021-06-23,133048,1255,14397
E92000001,England,nation,2021-06-22,133042,1301,13217
E92000001,England,nation,2021-06-21,133030,1290,12406
E92000001,England,nation,2021-06-20,133019,1168,8009
E92000001,England,nation,2021-06-19,133000,1143,6940
E92000001,England,nation,2021-06-18,132983,1170,8506
E92000001,England,nation,2021-06-17,132969,1122,9200
E92000001,England,nation,2021-06-16,132962,1057,9155
E92000001,England,nation,2021-06-15,132950,1030,8867
E92000001,England,nation,2021-06-14,132935,993,8690
E92000001,England,nation,2021-06-13,132924,947,5909
E92000001,England,nation,2021-06-12,132915,915,5256
E92000001,England,nation,2021-06-11,132905,884,6337
E92000001,England,nation,2021-06-10,132894,906,6528
E92000001,England,nation,2021-06-09,132878,876,6719
E92000001,England,nation,2021-06-08,132864,879,6426
E92000001,England,nation,2021-06-07,132851,860,6595
E92000001,England,nation,2021-06-06,132846,807,4611
E92000001,England,nation,2021-06-05,132834,782,3861
E92000001,England,nation,2021-06-04,132830,805,4738
E92000001,England,nation,2021-06-03,132817,779,4973
E92000001,England,nation,2021-06-02,132803,801,4920
E92000001,England,nation,2021-06-01,132793,776,4334
E92000001,England,nation,2021-05-31,132784,773,3064
E92000001,England,nation,2021-05-30,132774,755,2532
E92000001,England,nation,2021-05-29,132767,748,2392
E92000001,England,nation,2021-05-28,132758,743,2826
E92000001,England,nation,2021-05-27,132746,742,2962
E92000001,England,nation,2021-05-26,132738,745,3068
E92000001,England,nation,2021-05-25,132726,765,2690
E92000001,England,nation,2021-05-24,132719,797,2618
E92000001,England,nation,2021-05-23,132706,756,1842
E92000001,England,nation,2021-05-22,132692,730,1536
E92000001,England,nation,2021-05-21,132689,766,1799
E92000001,England,nation,2021-05-20,132673,749,1914
E92000001,England,nation,2021-05-19,132667,757,2172
E92000001,England,nation,2021-05-18,132664,749,2140
E92000001,England,nation,2021-05-17,132655,798,2243
E92000001,England,nation,2021-05-16,132644,801,1521
E92000001,England,nation,2021-05-15,132634,810,1260
E92000001,England,nation,2021-05-14,132621,818,1457
E92000001,England,nation,2021-05-13,132612,845,1656
E92000001,England,nation,2021-05-12,132602,907,1768
E92000001,England,nation,2021-05-11,132589,921,1746
E92000001,England,nation,2021-05-10,132570,944,2175
E92000001,England,nation,2021-05-09,132563,933,1849
E92000001,England,nation,2021-05-08,132552,948,1203
E92000001,England,nation,2021-05-07,132535,973,1561
E92000001,England,nation,2021-05-06,132520,976,1808
E92000001,England,nation,2021-05-05,132506,1032,2041
E92000001,England,nation,2021-05-04,132486,1093,2044
E92000001,England,nation,2021-05-03,132472,1096,1695
E92000001,England,nation,2021-05-02,132455,1082,1215
E92000001,England,nation,2021-05-01,132440,1071,1129
E92000001,England,nation,2021-04-30,132427,1161,1412
E92000001,England,nation,2021-04-29,132411,1235,1763
E92000001,England,nation,2021-04-28,132396,1278,2018
E92000001,England,nation,2021-04-27,132377,1310,1693
E92000001,England,nation,2021-04-26,132354,1393,2093
E92000001,England,nation,2021-04-25,132335,1377,1775
E92000001,England,nation,2021-04-24,132314,1401,1202
E92000001,England,nation,2021-04-23,132295,1478,1580
E92000001,England,nation,2021-04-22,132272,1523,1884
E92000001,England,nation,2021-04-21,132244,1609,2128
E92000001,England,nation,2021-04-20,132219,1649,1942
E92000001,England,nation,2021-04-19,132189,1732,2128
E92000001,England,nation,2021-04-18,132172,1691,2129
E92000001,England,nation,2021-04-17,132145,1735,1308
E92000001,England,nation,2021-04-16,132111,1844,1810
E92000001,England,nation,2021-04-15,132083,1885,1803
E92000001,England,nation,2021-04-14,132047,1972,1945
E92000001,England,nation,2021-04-13,132022,2057,1908
E92000001,England,nation,2021-04-12,131985,2108,2235
E92000001,England,nation,2021-04-11,131950,2096,1902
E92000001,England,nation,2021-04-10,131918,2190,1888
E92000001,England,nation,2021-04-09,131882,2321,2314
E92000001,England,nation,2021-04-08,131850,2382,2481
E92000001,England,nation,2021-04-07,131799,2486,2590
E92000001,England,nation,2021-04-06,131762,2588,2565
E92000001,England,nation,2021-04-05,131725,2680,2190
E92000001,England,nation,2021-04-04,131690,2672,1923
E92000001,England,nation,2021-04-03,131640,2677,2013
E92000001,England,nation,2021-04-02,131608,2784,2128
E92000001,England,nation,2021-04-01,131570,2928,2866
E92000001,England,nation,2021-03-31,131516,3084,3147
E92000001,England,nation,2021-03-30,131452,3283,2956
E92000001,England,nation,2021-03-29,131404,3466,3197
E92000001,England,nation,2021-03-28,131349,3438,4102
E92000001,England,nation,2021-03-27,131307,3676,2946
E92000001,England,nation,2021-03-26,131252,3712,3628
E92000001,England,nation,2021-03-25,131191,3763,4451
E92000001,England,nation,2021-03-24,131124,4005,5116
E92000001,England,nation,2021-03-23,131066,4245,4346
E92000001,England,nation,2021-03-22,130984,4501,5149
E92000001,England,nation,2021-03-21,130898,4492,4518
E92000001,England,nation,2021-03-20,130792,4589,3371
E92000001,England,nation,2021-03-19,130705,4841,4142
E92000001,England,nation,2021-03-18,130625,5083,4526
E92000001,England,nation,2021-03-17,130540,5397,4850
E92000001,England,nation,2021-03-16,130436,5664,4743
E92000001,England,nation,2021-03-15,130342,5976,5442
E92000001,England,nation,2021-03-14,130223,6039,3586
E92000001,England,nation,2021-03-13,130111,6072,3456
E92000001,England,nation,2021-03-12,129989,6391,4620
E92000001,England,nation,2021-03-11,129873,6687,4690
E92000001,England,nation,2021-03-10,129721,6975,5013
E92000001,England,nation,2021-03-09,129587,7451,5220
E92000001,England,nation,2021-03-08,129427,7847,5571
E92000001,England,nation,2021-03-07,129262,7812,3543
E92000001,England,nation,2021-03-06,129090,8021,3708
E92000001,England,nation,2021-03-05,128912,8594,4552
E92000001,England,nation,2021-03-04,128709,9092,4799
E92000001,England,nation,2021-03-03,128506,9594,5104
E92000001,England,nation,2021-03-02,128321,10121,5685
E92000001,England,nation,2021-03-01,128111,10765,5892
E92000001,England,nation,2021-02-28,127861,10663,3958
E92000001,England,nation,2021-02-27,127606,11090,4104
E92000001,England,nation,2021-02-26,127343,11781,5670
E92000001,England,nation,2021-02-25,127084,12449,6620
E92000001,England,nation,2021-02-24,126781,13007,7307
E92000001,England,nation,2021-02-23,126467,13511,8148
E92000001,England,nation,2021-02-22,126135,14137,9857
E92000001,England,nation,2021-02-21,125813,14142,6800
E92000001,England,nation,2021-02-20,125458,14316,6896
E92000001,England,nation,2021-02-19,125073,15018,8884
E92000001,England,nation,2021-02-18,124685,15633,9912
E92000001,England,nation,2021-02-17,124231,16458,10027
E92000001,England,nation,2021-02-16,123795,17093,10816
E92000001,England,nation,2021-02-15,123297,17730,12469
E92000001,England,nation,2021-02-14,122750,17787,7535
E92000001,England,nation,2021-02-13,122233,17694,7743
E92000001,England,nation,2021-02-12,121724,19009,10573
E92000001,England,nation,2021-02-11,121180,19983,11229
E92000001,England,nation,2021-02-10,120593,20926,11847
E92000001,England,nation,2021-02-09,119966,22067,12246
E92000001,England,nation,2021-02-08,119339,23020,13854
E92000001,England,nation,2021-02-07,118640,22991,10160
E92000001,England,nation,2021-02-06,117977,23042,10590
E92000001,England,nation,2021-02-05,117294,24402,13981
E92000001,England,nation,2021-02-04,116525,25334,16158
E92000001,England,nation,2021-02-03,115790,26374,17410
E92000001,England,nation,2021-02-02,114924,27397,17661
E92000001,England,nation,2021-02-01,114073,28539,20111
E92000001,England,nation,2021-01-31,113182,28112,13710
E92000001,England,nation,2021-01-30,112286,28571,15003
E92000001,England,nation,2021-01-29,111364,29359,19689
E92000001,England,nation,2021-01-28,110361,30333,21846
E92000001,England,nation,2021-01-27,109252,30846,23238
E92000001,England,nation,2021-01-26,108148,32337,24433
E92000001,England,nation,2021-01-25,107104,32938,27111
E92000001,England,nation,2021-01-24,105957,32907,15454
E92000001,England,nation,2021-01-23,104876,32614,19875
E92000001,England,nation,2021-01-22,103731,33412,26917
E92000001,England,nation,2021-01-21,102545,33235,28753
E92000001,England,nation,2021-01-20,101343,33886,31749
E92000001,England,nation,2021-01-19,100110,34015,35965
E92000001,England,nation,2021-01-18,98787,34336,40717
E92000001,England,nation,2021-01-17,97548,33352,26208
E92000001,England,nation,2021-01-16,96323,32923,27652
E92000001,England,nation,2021-01-15,95085,33362,36784
E92000001,England,nation,2021-01-14,93926,32925,38533
E92000001,England,nation,2021-01-13,92762,32689,41163
E92000001,England,nation,2021-01-12,91605,32202,44677
E92000001,England,nation,2021-01-11,90435,32070,52022
E92000001,England,nation,2021-01-10,89364,30758,32859
E92000001,England,nation,2021-01-09,88337,29462,35448
E92000001,England,nation,2021-01-08,87364,29346,42335
E92000001,England,nation,2021-01-07,86442,28246,46856
E92000001,England,nation,2021-01-06,85527,27727,51317
E92000001,England,nation,2021-01-05,84645,26467,58040
E92000001,England,nation,2021-01-04,83792,26626,69110
E92000001,England,nation,2021-01-03,83003,24957,49510
E92000001,England,nation,2021-01-02,82319,23557,54174
E92000001,England,nation,2021-01-01,81595,22534,28223
E92000001,England,nation,2020-12-31,80904,22728,46695
E92000001,England,nation,2020-12-30,80203,22713,62878
E92000001,England,nation,2020-12-29,79548,21787,72502
E92000001,England,nation,2020-12-28,78934,20426,40039
E92000001,England,nation,2020-12-27,78319,19277,42436
E92000001,England,nation,2020-12-26,77707,18350,36710
E92000001,England,nation,2020-12-25,77114,17701,12673
E92000001,England,nation,2020-12-24,76556,18227,28694
E92000001,England,nation,2020-12-23,76053,17834,37608
E92000001,England,nation,2020-12-22,75534,18063,40896
E92000001,England,nation,2020-12-21,74995,17709,42596
E92000001,England,nation,2020-12-20,74489,16633,28937
E92000001,England,nation,2020-12-19,74034,16183,21739
E92000001,England,nation,2020-12-18,73577,15866,31833
E92000001,England,nation,2020-12-17,73099,15741,29609
E92000001,England,nation,2020-12-16,72636,15465,30123
E92000001,England,nation,2020-12-15,72250,15031,29090
E92000001,England,nation,2020-12-14,71842,15053,29508
E92000001,England,nation,2020-12-13,71420,14460,18126
E92000001,England,nation,2020-12-12,71010,13927,16031
E92000001,England,nation,2020-12-11,70599,13901,19866
E92000001,England,nation,2020-12-10,70175,13796,18542
E92000001,England,nation,2020-12-09,69768,13467,17459
E92000001,England,nation,2020-12-08,69387,13629,16667
E92000001,England,nation,2020-12-07,68989,13616,17393
E92000001,England,nation,2020-12-06,68610,13189,10870
E92000001,England,nation,2020-12-05,68247,12968,10139
E92000001,England,nation,2020-12-04,67902,12987,12881
E92000001,England,nation,2020-12-03,67482,12896,12523
E92000001,England,nation,2020-12-02,67072,13212,13466
E92000001,England,nation,2020-12-01,66724,13507,13522
E92000001,England,nation,2020-11-30,66365,13756,15026
E92000001,England,nation,2020-11-29,65980,13521,8902
E92000001,England,nation,2020-11-28,65557,13208,9205
E92000001,England,nation,2020-11-27,65168,13754,12267
E92000001,England,nation,2020-11-26,64781,13908,12274
E92000001,England,nation,2020-11-25,64401,14240,13931
E92000001,England,nation,2020-11-24,63965,14506,14027
E92000001,England,nation,2020-11-23,63542,14712,16204
E92000001,England,nation,2020-11-22,63113,14354,10038
E92000001,England,nation,2020-11-21,62693,14118,10618
E92000001,England,nation,2020-11-20,62280,14236,14678
E92000001,England,nation,2020-11-19,61873,14479,15497
E92000001,England,nation,2020-11-18,61466,14490,18210
E92000001,England,nation,2020-11-17,61022,14411,20318
E92000001,England,nation,2020-11-16,60644,14313,23720
E92000001,England,nation,2020-11-15,60282,13886,14209
E92000001,England,nation,2020-11-14,59907,13399,16032
E92000001,England,nation,2020-11-13,59540,13328,21648
E92000001,England,nation,2020-11-12,59188,12967,21954
E92000001,England,nation,2020-11-11,58831,12730,24635
E92000001,England,nation,2020-11-10,58514,12033,24469
E92000001,England,nation,2020-11-09,58185,12259,28100
E92000001,England,nation,2020-11-08,57781,11680,17963
E92000001,England,nation,2020-11-07,57434,11514,16619
E92000001,England,nation,2020-11-06,57086,11181,20828
E92000001,England,nation,2020-11-05,56747,10994,20871
E92000001,England,nation,2020-11-04,56447,11037,20690
E92000001,England,nation,2020-11-03,56164,10971,22309
E92000001,England,nation,2020-11-02,55860,10397,27932
E92000001,England,nation,2020-11-01,55581,9623,13370
E92000001,England,nation,2020-10-31,55298,9782,14342
E92000001,England,nation,2020-10-30,55021,9295,19643
E92000001,England,nation,2020-10-29,54737,9127,19960
E92000001,England,nation,2020-10-28,54484,9070,20230
E92000001,England,nation,2020-10-27,54256,8595,20482
E92000001,England,nation,2020-10-26,54030,7856,22755
E92000001,England,nation,2020-10-25,53812,7612,13163
E92000001,England,nation,2020-10-24,53605,7176,13520
E92000001,England,nation,2020-10-23,53431,6842,18101
E92000001,England,nation,2020-10-22,53248,6345,19609
E92000001,England,nation,2020-10-21,53062,6271,21485
E92000001,England,nation,2020-10-20,52866,6072,21325
E92000001,England,nation,2020-10-19,52689,5644,22103
E92000001,England,nation,2020-10-18,52534,5202,11855
E92000001,England,nation,2020-10-17,52410,5029,12351
E92000001,England,nation,2020-10-16,52242,4854,14547
E92000001,England,nation,2020-10-15,52117,4569,15235
E92000001,England,nation,2020-10-14,51993,4313,16434
E92000001,England,nation,2020-10-13,51889,4105,15435
E92000001,England,nation,2020-10-12,51795,3827,16198
E92000001,England,nation,2020-10-11,51701,3604,9653
E92000001,England,nation,2020-10-10,51595,3369,10151
E92000001,England,nation,2020-10-09,51508,3238,13010
E92000001,England,nation,2020-10-08,51426,3179,15263
E92000001,England,nation,2020-10-07,51346,3066,15185
E92000001,England,nation,2020-10-06,51258,2903,14288
E92000001,England,nation,2020-10-05,51189,2705,14036
E92000001,England,nation,2020-10-04,51135,2435,9831
E92000001,England,nation,2020-10-03,51080,2290,9699
E92000001,England,nation,2020-10-02,51024,2180,11574
E92000001,England,nation,2020-10-01,50955,2069,11304
E92000001,England,nation,2020-09-30,50899,2036,10521
E92000001,England,nation,2020-09-29,50846,1954,8716
E92000001,England,nation,2020-09-28,50804,1955,8573
E92000001,England,nation,2020-09-27,50757,1793,6025
E92000001,England,nation,2020-09-26,50708,1689,5647
E92000001,England,nation,2020-09-25,50665,1686,6029
E92000001,England,nation,2020-09-24,50630,1546,6293
E92000001,England,nation,2020-09-23,50597,1439,5884
E92000001,England,nation,2020-09-22,50545,1378,5353
E92000001,England,nation,2020-09-21,50513,1299,4695
E92000001,England,nation,2020-09-20,50487,1174,4625
E92000001,England,nation,2020-09-19,50453,1081,4174
E92000001,England,nation,2020-09-18,50431,1020,4271
E92000001,England,nation,2020-09-17,50406,984,3941
E92000001,England,nation,2020-09-16,50372,929,3742
E92000001,England,nation,2020-09-15,50347,891,3040
E92000001,England,nation,2020-09-14,50325,812,2892
E92000001,England,nation,2020-09-13,50308,691,1708
E92000001,England,nation,2020-09-12,50290,663,2205
E92000001,England,nation,2020-09-11,50269,622,2858
E92000001,England,nation,2020-09-10,50254,572,3099
E92000001,England,nation,2020-09-09,50239,557,2849
E92000001,England,nation,2020-09-08,50229,535,3001
E92000001,England,nation,2020-09-07,50214,555,3460
E92000001,England,nation,2020-09-06,50194,483,2056
E92000001,England,nation,2020-09-05,50181,471,2189
E92000001,England,nation,2020-09-04,50169,474,2590
E92000001,England,nation,2020-09-03,50155,468,2661
E92000001,England,nation,2020-09-02,50149,451,2618
E92000001,England,nation,2020-09-01,50136,496,1927
E92000001,England,nation,2020-08-31,50127,495,1260
E92000001,England,nation,2020-08-30,50111,479,975
E92000001,England,nation,2020-08-29,50103,478,1040
E92000001,England,nation,2020-08-28,50095,469,1384
E92000001,England,nation,2020-08-27,50084,492,1326
E92000001,England,nation,2020-08-26,50073,485,1135
E92000001,England,nation,2020-08-25,50058,500,1062
E92000001,England,nation,2020-08-24,50039,522,1132
E92000001,England,nation,2020-08-23,50031,522,697
E92000001,England,nation,2020-08-22,50015,594,715
E92000001,England,nation,2020-08-21,50004,528,1007
E92000001,England,nation,2020-08-20,49995,551,1218
E92000001,England,nation,2020-08-19,49979,571,1074
E92000001,England,nation,2020-08-18,49969,597,924
E92000001,England,nation,2020-08-17,49958,626,1135
E92000001,England,nation,2020-08-16,49939,634,530
E92000001,England,nation,2020-08-15,49927,630,643
E92000001,England,nation,2020-08-14,49906,642,1037
E92000001,England,nation,2020-08-13,49891,652,1021
E92000001,England,nation,2020-08-12,49873,642,1095
E92000001,England,nation,2020-08-11,49853,672,1213
E92000001,England,nation,2020-08-10,49833,714,1348
E92000001,England,nation,2020-08-09,49810,611,555
E92000001,England,nation,2020-08-08,49792,650,637
E92000001,England,nation,2020-08-07,49774,711,865
E92000001,England,nation,2020-08-06,49755,756,981
E92000001,England,nation,2020-08-05,49738,805,942
E92000001,England,nation,2020-08-04,49731,807,920
E92000001,England,nation,2020-08-03,49711,842,936
E92000001,England,nation,2020-08-02,49692,847,512
E92000001,England,nation,2020-08-01,49677,879,494
E92000001,England,nation,2020-07-31,49661,870,626
E92000001,England,nation,2020-07-30,49635,898,856
E92000001,England,nation,2020-07-29,49621,927,972
E92000001,England,nation,2020-07-28,49600,944,778
E92000001,England,nation,2020-07-27,49580,945,808
E92000001,England,nation,2020-07-26,49564,965,515
E92000001,England,nation,2020-07-25,49536,977,492
E92000001,England,nation,2020-07-24,49516,1018,718
E92000001,England,nation,2020-07-23,49499,1095,728
E92000001,England,nation,2020-07-22,49466,1305,746
E92000001,England,nation,2020-07-21,49432,1188,688
E92000001,England,nation,2020-07-20,49402,1278,753
E92000001,England,nation,2020-07-19,49373,1301,414
E92000001,England,nation,2020-07-18,49351,1321,467
E92000001,England,nation,2020-07-17,49323,1346,548
E92000001,England,nation,2020-07-16,49292,1348,641
E92000001,England,nation,2020-07-15,49274,1489,725
E92000001,England,nation,2020-07-14,49235,1506,650
E92000001,England,nation,2020-07-13,49197,1612,689
E92000001,England,nation,2020-07-12,49155,1611,353
E92000001,England,nation,2020-07-11,49126,1640,421
E92000001,England,nation,2020-07-10,49093,1746,521
E92000001,England,nation,2020-07-09,49051,1801,683
E92000001,England,nation,2020-07-08,48995,1888,672
E92000001,England,nation,2020-07-07,48951,2010,559
E92000001,England,nation,2020-07-06,48910,2099,653
E92000001,England,nation,2020-07-05,48862,2100,540
E92000001,England,nation,2020-07-04,48818,2152,388
E92000001,England,nation,2020-07-03,48772,2294,541
E92000001,England,nation,2020-07-02,48727,2410,564
E92000001,England,nation,2020-07-01,48672,2509,616
E92000001,England,nation,2020-06-30,48628,2665,572
E92000001,England,nation,2020-06-29,48557,3024,667
E92000001,England,nation,2020-06-28,48494,2818,410
E92000001,England,nation,2020-06-27,48432,2819,504
E92000001,England,nation,2020-06-26,48371,2859,640
E92000001,England,nation,2020-06-25,48301,3066,637
E92000001,England,nation,2020-06-24,48204,3223,726
E92000001,England,nation,2020-06-23,48111,3288,729
E92000001,England,nation,2020-06-22,48022,3417,814
E92000001,England,nation,2020-06-21,47948,3373,549
E92000001,England,nation,2020-06-20,47881,3423,628
E92000001,England,nation,2020-06-19,47805,3575,821
E92000001,England,nation,2020-06-18,47729,3681,943
E92000001,England,nation,2020-06-17,47650,3826,910
E92000001,England,nation,2020-06-16,47559,3934,993
E92000001,England,nation,2020-06-15,47456,3920,936
E92000001,England,nation,2020-06-14,47364,3973,744
E92000001,England,nation,2020-06-13,47245,4000,788
E92000001,England,nation,2020-06-12,47160,4136,942
E92000001,England,nation,2020-06-11,47038,4179,911
